City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
34,Loreto,MX,22.2667,-101.9667,65.37,15,49,16.6,scattered clouds,0.0,0.0
35,Jamestown,US,42.097,-79.2353,42.03,57,75,8.05,broken clouds,0.0,0.0
36,Margate,GB,51.3813,1.3862,52.3,82,100,5.99,overcast clouds,0.0,0.0
37,Bluff,NZ,-46.6,168.3333,62.11,84,100,6.44,overcast clouds,0.0,0.0
38,Castro,BR,-24.7911,-50.0119,64.04,95,100,1.23,overcast clouds,0.0,0.0
39,Sao Filipe,CV,14.8961,-24.4956,70.95,74,4,6.22,clear sky,0.0,0.0
40,Atuona,PF,-9.8,-139.0333,79.5,76,5,21.74,clear sky,0.0,0.0
41,Qujing,CN,25.4833,103.7833,46.94,87,100,6.96,overcast clouds,0.0,0.0
42,Puerto Ayora,EC,-0.7393,-90.3518,77.56,94,25,5.7,scattered clouds,0.0,0.0
43,Hongjiang,CN,27.11,109.9956,58.84,88,100,0.94,overcast clouds,0.0,0.0
44,Naze,JP,28.3667,129.4833,65.32,49,6,5.26,clear sky,0.0,0.0
45,Punta Arenas,CL,-53.15,-70.9167,37.51,75,40,33.38,scattered clouds,0.0,0.0
46,Berlevag,NO,70.8578,29.0864,22.8,68,97,15.84,light snow,0.0,0.0
47,Coihaique,CL,-45.5752,-72.0662,52.41,82,100,3.44,light rain,0.0,0.0
48,Banjar,ID,-8.19,114.9675,87.96,55,54,2.98,broken clouds,0.0,0.0
49,Kaitangata,NZ,-46.2817,169.8464,68.47,61,100,4.54,light rain,0.0,0.0
50,Arraial Do Cabo,BR,-22.9661,-42.0278,76.28,89,1,14.61,clear sky,0.0,0.0
51,Manicore,BR,-5.8092,-61.3003,73.65,97,100,2.57,overcast clouds,0.0,0.0
52,Severo-Kurilsk,RU,50.6789,156.125,35.89,92,30,7.81,scattered clouds,0.0,0.0
53,Albany,US,42.6001,-73.9662,40.93,74,99,4.12,overcast clouds,0.0,0.0
54,Kang,BW,-23.6752,22.7876,66.18,67,60,2.21,broken clouds,0.0,0.0
55,Yellowknife,CA,62.456,-114.3525,36.41,78,20,4.61,few clouds,0.0,0.0
56,Darhan,MN,49.4867,105.9228,31.41,52,98,0.45,overcast clouds,0.0,0.0
57,Masallatah,LY,32.6167,14.0,69.71,33,100,13.73,overcast clouds,0.0,0.0
58,Tshela,CD,-4.9833,12.9333,72.59,100,100,1.43,overcast clouds,0.0,0.0
59,Bartica,GY,6.4,-58.6167,75.52,99,33,2.48,scattered clouds,0.0,0.0
60,Birao,CF,10.2849,22.7882,80.06,42,46,5.53,scattered clouds,0.0,0.0
61,Suhbaatar,MN,50.2314,106.2078,32.85,41,66,5.48,broken clouds,0.0,0.0
62,Victoria,HK,22.2855,114.1577,77.97,59,8,8.01,clear sky,0.0,0.0
63,Norman Wells,CA,65.282,-126.8329,1.44,55,75,10.36,broken clouds,0.0,0.0
64,Hobart,AU,-42.8794,147.3294,58.86,70,75,13.8,broken clouds,0.0,0.0
65,Aswan,EG,24.0934,32.907,78.96,14,0,11.16,clear sky,0.0,0.0
66,Cayenne,GF,4.9333,-52.3333,80.1,1,75,3.0,broken clouds,0.0,0.0
67,Henties Bay,NA,-22.116,14.2845,60.12,86,0,6.06,clear sky,0.0,0.0
68,Vardo,NO,70.3705,31.1107,29.19,60,100,21.23,light snow,0.0,0.0
69,Xining,CN,36.6167,101.7667,47.82,26,0,1.03,clear sky,0.0,0.0
70,Porto Novo,BJ,6.4965,2.6036,84.02,77,100,6.96,overcast clouds,0.0,0.0
71,Isfara,TJ,40.1265,70.6253,66.51,19,0,1.95,clear sky,0.0,0.0
72,Lebu,CL,-37.6167,-73.65,54.54,81,98,13.65,overcast clouds,0.0,0.0
73,Narsaq,GL,60.9167,-46.05,46.62,72,100,4.45,overcast clouds,0.0,0.0
74,Kahului,US,20.8947,-156.47,77.02,71,40,20.71,scattered clouds,0.0,0.0
75,Whitehorse,CA,60.7161,-135.0538,36.37,43,20,8.05,few clouds,0.0,0.0
76,Kutoarjo,ID,-7.7169,109.9128,86.09,65,12,3.2,few clouds,0.0,0.0
77,Tiksi,RU,71.6872,128.8694,-2.99,98,100,4.83,overcast clouds,0.0,0.0
78,Najran,SA,17.4924,44.1277,57.85,12,0,2.84,clear sky,0.0,0.0
79,Ribeira Grande,PT,38.5167,-28.7,59.99,74,44,8.7,scattered clouds,0.0,0.0
80,Qaanaaq,GL,77.484,-69.3632,28.65,72,100,9.98,overcast clouds,0.0,0.0
81,Vanimo,PG,-2.6741,141.3028,85.35,65,99,1.97,overcast clouds,0.0,0.0
